"","MU","plot","easting","northing","biomass.mg.ha","stocking.stems.ha","diameter.class.cm","basal.area.m2.ha","gross.growth.mg.ha.y"
"1"," 10",11,529698.61,4966332.67,96.35,5453,4.8,22,2.77
"2"," 10",13,529777.31,4966470.67,115.7,2629,6.9,23.2,3.19
"3"," 10",21,529774.31,4966265.03,121.58,3385,6.1,23,3.71
"4"," 10",22,529814.04,4966335.76,71.97,7742,3.1,16.1,2.39
"5"," 10",23,529850.24,4966402.02,122.26,7980,4.7,29.2,3.81
"6"," 10",24,529899.49,4966467.24,85.85,10047,1.6,19.1,2.53
"7"," 10",31,529868.04,4966229.14,70.58,5039,4.1,14.1,1.67
"8"," 10",32,529907.69,4966299.98,136.3,5831,5.2,27.4,3.72
"9"," 10",33,529945.45,4966370.69,90.45,2505,5.7,21.6,3.66
"10"," 10",34,529985.04,4966440.09,61.75,7325,3.3,15,1.39
"11"," 11",11,529875.89,4966646.64,NA,NA,NA,NA,NA
"12"," 11",12,529915.31,4966718.26,NA,NA,NA,NA,NA
"13"," 11",13,529958.36,4966788.66,NA,NA,NA,NA,NA
"14"," 11",14,529999.36,4966857.73,144.81,797,8.4,29.2,2.35
"15"," 11",22,529979.73,4966629.46,93.13,520,8.5,19.5,0.69
"16"," 11",23,530021.6,4966699.53,107.78,1059,7.7,21.8,1.45
"17"," 11",24,530063.29,4966772.05,56.27,746,6.9,13.2,0.68
"18"," 11",32,530095.64,4966631.23,130.43,727,9.1,25.2,2.45
"19"," 11",33,530137.9,4966702.08,108.16,589,9.3,19.2,2.36
"20"," 12",11,530047.16,4966927.49,89.69,4857,4.3,20.9,3.22
"21"," 12",12,530092.78,4967004.36,144.08,4489,5.3,30,2.32
"22"," 12",13,530134.94,4967078.76,114.53,15740,2.5,30.7,4.77
"23"," 12",14,530174.72,4967155.04,178.79,6165,5,38,3.49
"25"," 12",21,530147.26,4966896.19,152.93,1900,7.4,32.1,1.54
"26"," 12",22,530190.06,4966968.15,137.63,2329,7,25.4,2.38
"27"," 12",23,530233.24,4967044.9,133.68,4826,4.9,31.3,4.28
"28"," 12",31,530210.27,4966804.28,127.07,2228,7,25.9,1.62
"29"," 12",32,530253.69,4966880.14,122.09,9567,3.5,29.4,3.14
"30"," 12",33,530296.32,4966955.77,115.4,5881,4.2,26.8,4.04
"31"," 12",41,530313.94,4966789,77.84,1724,6,17.1,0.91
"32"," 12",42,530357.11,4966865.74,77.58,9297,2.6,20.3,3.52
"33"," 12",43,530401.25,4966939.16,137.23,6787,4.4,31.3,4.17
"34"," 13",11,530365.97,4966713.93,86.74,4729,5.3,19.4,4.05
"35"," 13",12,530385.24,4966748.23,80.85,3892,5.2,19.1,3.84
"36"," 13",13,530406.49,4966783.99,72.34,6114,3.5,18,5.2
"37"," 13",14,530426.38,4966821.08,88.99,1924,6.1,20.6,4.2
"38"," 13",21,530457.41,4966710.14,105.05,2665,6,25.6,2.95
"39"," 13",22,530485.3,4966759.82,78.3,10516,3.2,23.6,4.71
"40"," 13",23,530504.73,4966795.79,96.15,19376,2.3,28.7,5.1
"41"," 13",24,530535.06,4966848.15,116.57,6194,3.9,25.4,5.46
"42"," 13",25,530554.02,4966883.12,162.74,15360,2.8,39.1,6.48
"43"," 13",26,530603.3,4966970.33,115.7,8537,3.5,31.1,5.07
"44"," 13",31,530505.97,4966633.61,64.56,5609,3.6,17.5,5.01
"45"," 13",32,530527.22,4966669.48,83.89,4284,4.4,21.1,5.07
"46"," 13",33,530565.21,4966739.42,82.2,7629,3.2,20.6,6.17
"47"," 13",34,530583.14,4966774.84,98.84,3102,5.8,21.6,4.29
"48"," 13",35,530645.06,4966878.33,110.05,7097,3.6,24.7,5.65
"49"," 13",36,530674.76,4966932.02,55.87,2015,5.1,13.3,3.87
"50"," 13",41,530559.52,4966605.54,95.22,19391,2,28,7.48
"51"," 13",42,530589.78,4966657.89,98.64,18970,2.1,29.6,6.77
"52"," 13",43,530607.55,4966691.53,70.43,6640,3,16.3,4.78
"53"," 13",44,530627.62,4966726.06,148.59,3539,5.8,26.7,5.17
"54"," 13",45,530648.07,4966761.59,117.44,10040,3.2,26.8,8.12
"55"," 13",51,530622.96,4966591.73,121.38,10143,3.1,31.1,6.01
"56"," 13",52,530650.13,4966645.29,109.11,10418,2.9,27.3,3.8
"57"," 13",53,530680.38,4966697.65,117.72,4017,4.6,24.2,5.84
"58"," 13",61,530723.18,4966605.1,83.59,4742,4,19.1,4.56
"59"," 14",11,530109.01,4966459.44,NA,NA,NA,NA,NA
"60"," 14",12,530149.85,4966529.17,NA,NA,NA,NA,NA
"61"," 14",13,530192.28,4966598.25,NA,NA,NA,NA,NA
"62"," 14",14,530234.44,4966671.54,NA,NA,NA,NA,NA
"63"," 14",21,530218.44,4966445.07,NA,NA,NA,NA,NA
"64"," 14",22,530261.17,4966516.7,108.43,418,9.2,20.8,7.91
"65"," 14",23,530296.43,4966579.3,NA,NA,NA,NA,NA
"66"," 14",24,530339.31,4966652.26,163.52,433,10.8,29.4,5.64
"67"," 14",31,530289.32,4966361.64,NA,NA,NA,NA,NA
"68"," 14",32,530331.5,4966433.16,NA,NA,NA,NA,NA
"69"," 14",33,530372.97,4966503.01,NA,NA,NA,NA,NA
"70"," 14",34,530414.35,4966574.85,NA,NA,NA,NA,NA
"71"," 14",35,530444.82,4966631.32,NA,NA,NA,NA,NA
"72"," 15",11,530390.73,4966306.69,63.36,8092,3,19.3,5
"73"," 15",12,530411.74,4966342.11,55.08,4873,3.5,14.9,3.45
"74"," 15",13,530448.87,4966410.61,28.41,1759,4.6,7.9,2.29
"75"," 15",14,530509.39,4966513.43,31.54,2654,3.9,8.9,2.42
"76"," 15",15,530539.87,4966568.67,38.47,3443,3.7,11.7,2.89
"77"," 15",21,530435.86,4966306.13,66.23,4126,3.9,19.2,6.18
"78"," 15",22,530476.79,4966372.75,59.27,1270,6.6,14.4,2.38
"79"," 15",23,530516.76,4966442.26,45.17,2359,4.7,12.3,3.42
"80"," 15",24,530536.97,4966479.9,70.32,8021,3.1,21.3,4.29
"81"," 15",25,530565.25,4966530.69,NA,NA,NA,NA,NA
"82"," 15",31,530494.93,4966246.42,36.82,5117,3,11.1,4.61
"83"," 15",32,530514.85,4966279.51,39.29,4876,3.2,12.1,4.94
"84"," 15",33,530563.9,4966366.17,19.08,484,6.6,4.4,3.96
"85"," 15",34,530625.43,4966473.21,62.23,6816,3,20.4,3.9
"86"," 15",35,530647.63,4966507.09,45.53,4597,3.2,14.1,4.35
"87"," 15",41,530558.21,4966233.83,63.62,1597,5.8,17.2,3.66
"88"," 15",42,530599.3,4966301.79,58.35,14966,2.1,20.1,5.78
"89"," 15",43,530649.29,4966391.35,62.18,6149,3.5,18,4.91
"90"," 15",44,530669.2,4966424.54,49.11,3899,3.7,13.9,4.08
"91"," 15",45,530698.97,4966478.23,53.26,4206,4.4,14.9,4.52
"92"," 16",11,530065.81,4966369.15,113.55,2785,6.1,24.7,4.55
"93"," 16",12,530028.13,4966299.98,122.68,4231,5.4,25.6,3.5
"94"," 16",21,530135.29,4966364.47,155.35,1602,8,30.2,2.82
"95"," 16",22,530093.43,4966293.74,166.86,10312,3.9,35.9,3.16
"96"," 16",23,530054.72,4966223.46,93.02,3107,5.3,20.6,2.4
"97"," 16",31,530190.75,4966334.3,125.43,654,9,25.8,3.03
"98"," 16",32,530149.83,4966264.78,110.09,2640,6.1,24.1,3.22
"99"," 16",34,530099.68,4966174.46,105.51,1271,7.2,20.6,2.45
"100"," 16",41,530227.42,4966316.81,126.44,2417,6.7,24.9,3.72
"101"," 16",42,530184.46,4966244.95,135.94,958,8.3,26.3,3.45
"102"," 16",43,530160.4,4966200.85,90.93,2030,6.4,18.9,3.18
"103"," 16",44,530134.14,4966155.07,106.39,1152,7.1,22.5,2.48
"104"," 16",45,530096.91,4966089.46,145.53,9312,4.1,37.2,4.12
"105"," 16",51,530276.26,4966316.92,133.42,2148,7.2,26.4,2.2
"106"," 16",52,530249.68,4966272.36,127.1,1441,8.1,25.5,2.53
"107"," 16",53,530208.2,4966202.52,158.06,1156,9.1,31.1,3.38
"108"," 16",54,530184.3,4966160.64,106.81,6346,4.1,24,2.59
"109"," 16",55,530158.59,4966115.08,138.43,1826,7,28.5,4.1
"110"," 16",56,530132.17,4966069.86,172.3,1719,7.2,36.2,3.48
"111"," 17",11,530357.67,4966279.43,130.8,12913,3.1,32.5,4.27
"112"," 17",12,530318.56,4966210.7,131.71,6684,4.9,28.9,0.28
"113"," 17",13,530278.83,4966140.31,112.19,15730,2.4,28.4,0.8
"114"," 17",14,530239.17,4966071.36,126.37,3872,5.8,28.4,2.87
"115"," 17",15,530200.23,4965998.75,116.3,8889,3.7,26.3,3.23
"116"," 17",21,530425.08,4966195.43,121.93,11387,3.4,30.9,3.09
"117"," 17",22,530384.09,4966123.36,111.14,8675,3.8,23.4,1.28
"118"," 17",23,530343.79,4966056.08,156.49,7080,4.4,29.6,4.91
"119"," 17",24,530304.31,4965983.24,112.96,2325,7,22.1,3.31
"120"," 17",31,530536.18,4966179.96,NA,NA,NA,NA,NA
"121"," 17",32,530495.51,4966108.67,82.16,1847,6.4,17,1.89
"122"," 17",33,530451.9,4966038.15,86.17,13094,2.6,23.1,3.48
